title,Property_Address,price_month,price_week,agent_name,Agent_Number,Created_Date
2 bedroom apartment,"Lionel Road South, Brentford, Middlesex, TW8","2,575 pcm",594 pw,"Apo, Kew Bridge",020 3910 6585,22/09/2023
1 bedroom flat,"Galleria House, Royal Eden Docks, 12 Western Gateway, Custom House","2,253 pcm",520 pw,"Lessel, Hammersmith",020 3909 6586,today
1 bedroom house share,"Vernon House, London, SE11","1,200 pcm",277 pw,"OpenRent, London",020 3322 3265,today
8 bedroom detached house,West End Street,600 pcm,138 pw,"Speedy Lettings, Wembley",020 3840 3568,yesterday
Studio flat,"Camden Street, London, NW1","1,650 pcm",381 pw,"OpenRent, London",020 3322 3265,yesterday
Studio flat,Park Avenue,"1,466 pcm",338 pw,"Scraye, London",020 3834 8234,yesterday
1 bedroom maisonette,"Hill Top, Hampstead Garden Suburb, NW11","1,550 pcm",358 pw,"Jeremy Leaf & Co, East Finchley",020 3889 9180,yesterday
2 bedroom apartment,"Lancaster Road, Barnet, EN4","2,100 pcm",485 pw,"Chancellors, Barnet, Lettings",020 3871 8374,yesterday
2 bedroom flat,Henderson Drive,"2,650 pcm",612 pw,"Scraye, London",020 3834 8234,yesterday
2 bedroom flat,Edgware Road,"3,012 pcm",695 pw,"Scraye, London",020 3834 8234,yesterday
2 bedroom flat,Duchess Walk,"3,878 pcm",895 pw,"Scraye, London",020 3834 8234,yesterday
2 bedroom flat,"Cromwell Road, South Kensington","2,492 pcm",575 pw,"Pomp Properties, London",020 3840 3585,yesterday
Studio flat,Ash Grove,"1,519 pcm",351 pw,"Scraye, London",020 3834 8234,yesterday
2 bedroom apartment,"Blackwall Way, London, E14","2,860 pcm",660 pw,"UKmate, London",020 3984 8345,yesterday
1 bedroom flat,"Broad Street, Brighton, BN2",875 pcm,202 pw,"BV Students by Brand Vaughan, Brighton",01273 109894,yesterday
2 bedroom flat,"Dovetail Place, Lawrence Road, Seven Sisters, N15 4FX","1,700 pcm",392 pw,"L&Q, Lettings",020 3370 9509,yesterday
3 bedroom semi-detached house,"Burlington Road, Burnham, Slough, SL1","2,100 pcm",485 pw,"Oakwood Estates, Burnham",01628 563704,yesterday
Studio flat,"Kendrick Road, Reading, Berkshire, RG1","979 pcm
Fixed Price",226 pw,"UKmate, London",020 3984 8345,yesterday
3 bedroom end of terrace house,"Coalmans Way, Burnham, Slough, SL1","1,975 pcm",456 pw,"Oakwood Estates, Burnham",01628 563704,yesterday
4 bedroom apartment,"Clarence Gate Gardens, Glentworth Street, Marylebone, London, NW1","7,345 pcm","1,695 pw","Kubie Gold Associates, London",020 3834 8585,yesterday
3 bedroom terraced house,"Devonshire Road, Gillingham, ME7 1LT","1,250 pcm",288 pw,"LettingaProperty.com, Nationwide - Lettings",0121 285 6320,yesterday
5 bedroom house,"Evelyn Street, Depford, London SE8","5,000 pcm","1,154 pw","Storeys, London Lettings",020 8106 5686,yesterday
2 bedroom flat,"South Central Steedman Street, Elephant and Castle SE17","2,492 pcm",575 pw,"Black Katz, London Bridge",020 3879 5741,yesterday
Studio flat,"Stanwell Road, Feltham, Middlesex, TW14","1,200 pcm",277 pw,"HC-GB, South",020 3910 6533,yesterday
1 bedroom property,"Norton Road, Uxbridge, UB8",700 pcm,162 pw,"Lords Associates of London, Middlesex",01895 545728,yesterday
3 bedroom apartment,"Waterside Lane, Colchester","1,950 pcm",450 pw,"Jackson & Co ltd, Colchester",01206 586134,08/09/2023
Studio flat,"Carterhatch Road, London","1,300 pcm",300 pw,"Tony Alan Estates, London",020 3834 8169,yesterday
3 bedroom apartment,"Winsham Grove, London","6,000 pcm","1,385 pw","Exchange Residential Ltd, Newcastle Upon Tyne",0191 625 0988,yesterday
3 bedroom semi-detached house,"Pentreath Avenue, Guildford","2,100 pcm",485 pw,"Property Lounge, Guildford",01483 694589,yesterday
1 bedroom apartment,"Park Road , Camden","2,249 pcm",519 pw,"Martin & Co, Camden",020 3907 3306,yesterday
1 bedroom apartment,"Muswell Hill, London, N10","2,015 pcm",465 pw,"Home Made, London",01202 145329,yesterday
4 bedroom detached house,"Mandela Street, Oval, SW9","3,900 pcm",900 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,yesterday
4 bedroom flat,MARGERY STREET,"1,430 pcm",330 pw,"StudentTenant, Canterbury",03337 720618,yesterday
Flat share,"Harben Road, London, NW6",790 pcm,182 pw,"MoveHome, London",020 3835 5699,yesterday
3 bedroom flat,Zinc Street Sugar House Island E15,"3,200 pcm",738 pw,"JLL, Stratford",020 3840 3310,yesterday
2 bedroom apartment,"Tennyson Apartments, Saffron Central Square, Croydon, CR0","1,700 pcm",392 pw,"1st Avenue, Surrey",020 3834 8042,yesterday
1 bedroom flat,"High Road, Willesden Green NW10","1,625 pcm",375 pw,"Black Katz, West Hampstead",020 3869 5941,yesterday
2 bedroom terraced house,"Rambler Lane, Dartford, Kent, DA1","1,650 pcm",381 pw,"Alexander Charles & Browne, Forest Hill",020 3906 8785,yesterday
1 bedroom apartment,"Lawrence House, City Road, Clerkenwell, London, EC1V","2,650 pcm",612 pw,"Victorstone, City Road",020 3834 7921,yesterday
2 bedroom apartment,"Earlham Street, Covent Garden, WC2","5,308 pcm","1,225 pw","Tavistock Bow, London",020 3872 0732,yesterday
5 bedroom terraced house,"Hudson Court, Guildford","2,000 pcm",462 pw,"Cobbles Estate Agents, Guildford",01483 968204,yesterday
2 bedroom apartment,"Arthur Deakin House, Hunton Street, Shoreditch, London, E1","2,300 pcm",531 pw,"Victorstone, City Road",020 3834 7921,yesterday
1 bedroom property,Cunningham Avenue,570 pcm,132 pw,"Nicholas Humphreys, Hatfield",01707 938841,yesterday
1 bedroom apartment,"Merchants House, Stratford, E20","2,200 pcm",508 pw,"Home Made, London",01202 145329,yesterday
5 bedroom semi-detached house,"Cleveland Road, Uxbridge, UB8","3,000 pcm",692 pw,"Lords Associates of London, Middlesex",01895 545728,yesterday
1 bedroom flat,"Montpelier Road, Brighton, BN1",800 pcm,185 pw,"OpenRent, London",020 3322 3265,yesterday
5 bedroom detached house,"Robin Hood Lane, Blue Bell Hill, Chatham, ME5","3,000 pcm",692 pw,"Alexander Charles & Browne, Forest Hill",020 3906 8785,yesterday
3 bedroom flat,"Petersfield Rise, Roehampton ","2,650 pcm",612 pw,"Lawsons & Daughters, London",020 3869 9447,yesterday
1 bedroom flat,"Montpelier Road, City Centre, Brighton, BN1",800 pcm,185 pw,"Belvoir -  Brighton and Hove, Brighton",01273 109702,yesterday
3 bedroom flat,"Porthall Mews, Brighton, BN1","1,800 pcm",415 pw,"Belvoir -  Brighton and Hove, Brighton",01273 109702,yesterday
1 bedroom apartment,"Madison, Wembley Park, HA9","2,278 pcm",526 pw,"Home Made, London",01202 145329,28/09/2023
1 bedroom flat,"Montpelier Road, City Centre, Brighton, BN1",800 pcm,185 pw,"Belvoir -  Brighton and Hove, Brighton",01273 109702,yesterday
3 bedroom flat,"Porthall Mews, Brighton, BN1","1,800 pcm",415 pw,"Belvoir -  Brighton and Hove, Brighton",01273 109702,yesterday
