Created_Date,Property_Type,Property_Address,Number_of_bedroom(s),Price_Month,Price_Week,Agent_Name,Agent_Location,Agent_Number
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
30-09-2023,Flat,"Galleria House, Royal Eden Docks, 12 Western Gateway, Custom House",1,2253,520,Lessel,Hammersmith,020 3909 6586
30-09-2023,House Share,"Vernon House, London, Se11",1,1200,277,Openrent,London,020 3322 3265
29-09-2023,Detached House,West End Street,8,600,138,Speedy Lettings,Wembley,020 3840 3568
29-09-2023,Maisonette,"Hill Top, Hampstead Garden Suburb, Nw11",1,1550,358,Jeremy Leaf & Co,East Finchley,020 3889 9180
29-09-2023,Apartment,"Lancaster Road, Barnet, En4",2,2100,485,Chancellors,Barnet,020 3871 8374
29-09-2023,Flat,Henderson Drive,2,2650,612,Scraye,London,020 3834 8234
29-09-2023,Flat,Edgware Road,2,3012,695,Scraye,London,020 3834 8234
29-09-2023,Flat,Duchess Walk,2,3878,895,Scraye,London,020 3834 8234
29-09-2023,Flat,"Cromwell Road, South Kensington",2,2492,575,Pomp Properties,London,020 3840 3585
29-09-2023,Apartment,"Blackwall Way, London, E14",2,2860,660,Ukmate,London,020 3984 8345
29-09-2023,Flat,"Broad Street, Brighton, Bn2",1,875,202,Bv Students By Brand Vaughan,Brighton,01273 109894
29-09-2023,Flat,"Dovetail Place, Lawrence Road, Seven Sisters, N15 4Fx",2,1700,392,L&Q,Lettings,020 3370 9509
29-09-2023,Semi-Detached House,"Burlington Road, Burnham, Slough, Sl1",3,2100,485,Oakwood Estates,Burnham,01628 563704
29-09-2023,End Of Terrace House,"Coalmans Way, Burnham, Slough, Sl1",3,1975,456,Oakwood Estates,Burnham,01628 563704
29-09-2023,Apartment,"Clarence Gate Gardens, Glentworth Street, Marylebone, London, Nw1",4,7345,1695,Kubie Gold Associates,London,020 3834 8585
29-09-2023,Terraced House,"Devonshire Road, Gillingham, Me7 1Lt",3,1250,288,Lettingaproperty.Com,Nationwide - Lettings,0121 285 6320
29-09-2023,House,"Evelyn Street, Depford, London Se8",5,5000,1154,Storeys,London Lettings,020 8106 5686
29-09-2023,Flat,"South Central Steedman Street, Elephant And Castle Se17",2,2492,575,Black Katz,London Bridge,020 3879 5741
29-09-2023,Property,"Norton Road, Uxbridge, Ub8",1,700,162,Lords Associates Of London,Middlesex,01895 545728
08/09/2023,Apartment,"Waterside Lane, Colchester",3,1950,450,Jackson & Co Ltd,Colchester,01206 586134
29-09-2023,Apartment,"Winsham Grove, London",3,6000,1385,Exchange Residential Ltd,Newcastle Upon Tyne,0191 625 0988
29-09-2023,Semi-Detached House,"Pentreath Avenue, Guildford",3,2100,485,Property Lounge,Guildford,01483 694589
29-09-2023,Apartment,"Park Road , Camden",1,2249,519,Martin & Co,Camden,020 3907 3306
29-09-2023,Apartment,"Muswell Hill, London, N10",1,2015,465,Home Made,London,01202 145329
29-09-2023,Detached House,"Mandela Street, Oval, Sw9",4,3900,900,Davis & Gibbs Ltd,Oval,020 3910 6356
29-09-2023,Flat,Margery Street,4,1430,330,Studenttenant,Canterbury,03337 720618
29-09-2023,Flat,Zinc Street Sugar House Island E15,3,3200,738,Jll,Stratford,020 3840 3310
29-09-2023,Apartment,"Tennyson Apartments, Saffron Central Square, Croydon, Cr0",2,1700,392,1St Avenue,Surrey,020 3834 8042
29-09-2023,Flat,"High Road, Willesden Green Nw10",1,1625,375,Black Katz,West Hampstead,020 3869 5941
29-09-2023,Terraced House,"Rambler Lane, Dartford, Kent, Da1",2,1650,381,Alexander Charles & Browne,Forest Hill,020 3906 8785
